날짜,투자자,순위,종목명,시가총액,순매수수량,순매수대금,비율(%)
2025-12-15,개인,1,삼성전자,"6,203,781억원","7,539,547","7,925억원",0.13%
2025-12-15,개인,2,SK하이닉스,"4,033,133억원","271,286","1,471억원",0.04%
2025-12-15,개인,3,두산에너빌리티,"493,873억원","1,855,586","1,428억원",0.29%
2025-12-15,개인,4,현대건설,"81,401억원","1,014,082",720억원,0.88%
2025-12-15,개인,5,한화에어로스페이스,"468,196억원","54,310",497억원,0.11%
2025-12-15,개인,6,알테오젠,"233,285억원","99,009",433억원,0.19%
2025-12-15,개인,7,한전기술,"37,035억원","411,898",404억원,1.09%
2025-12-15,개인,8,비에이치아이,"18,041억원","647,098",380억원,2.10%
2025-12-15,개인,9,SK스퀘어,"387,682억원","128,625",377억원,0.10%
2025-12-15,개인,10,삼양식품,"92,656억원","30,068",374억원,0.40%
2025-12-15,개인,11,에코프로,"149,625억원","330,459",368억원,0.25%
2025-12-15,개인,12,LG씨엔에스,"63,363억원","553,340",367억원,0.58%
2025-12-15,개인,13,고려아연,"307,945억원","21,806",361억원,0.12%
2025-12-15,개인,14,대한전선,"45,493억원","1,494,084",357억원,0.79%
2025-12-15,개인,15,큐리오시스,"4,952억원","492,651",324억원,6.55%
2025-12-15,개인,16,이수페타시스,"96,019억원","249,503",324억원,0.34%
2025-12-15,개인,17,클로봇,"16,445억원","467,773",313억원,1.91%
2025-12-15,개인,18,현대차,"600,964억원","105,696",312억원,0.05%
2025-12-15,개인,19,LS ELECTRIC,"144,900억원","63,505",304억원,0.21%
2025-12-15,개인,20,일동제약,"12,924억원","705,577",286억원,2.22%
2025-12-15,기관,1,삼성바이오로직스,"820,276억원","31,888",568억원,0.07%
2025-12-15,기관,2,에코프로비엠,"175,749억원","131,160",234억원,0.13%
2025-12-15,기관,3,현대모비스,"330,720억원","56,538",208억원,0.06%
2025-12-15,기관,4,포스코퓨처엠,"201,908억원","84,442",193억원,0.10%
2025-12-15,기관,5,하이브,"128,111억원","52,370",161억원,0.13%
